TIMESTAMP,ID,RECORD,Speed_AVG,Direction_AVG,Direction_StDev,Raw_Speed_AVG,Raw_Direction_AVG,Raw_Direction_StDev,Speed_Max,Temperature_Avg,RH_Avg,Dewpoint_T_Avg,Pressure_Avg,Radiation_Avg,Sunshine,IR_Temp_Avg,IRdetectorT_Avg,Batt_Min
28/01/2020 6:30,GS,4779,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.28,8.52,13.01
28/01/2020 6:40,GS,4780,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.512,8.27,12.99
28/01/2020 7:10,GS,4783,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.844,8.58,12.98
28/01/2020 7:20,GS,4784,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.893,8.64,12.98
28/01/2020 6:50,GS,4781,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.935,8.26,12.99
28/01/2020 7:30,GS,4785,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,6.003,8.64,12.98
28/01/2020 7:00,GS,4782,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,6.005,8.57,12.99
28/01/2020 7:40,GS,4786,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,7.246,9.21,12.97
28/01/2020 8:00,GS,4788,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,7.717,10.77,12.97
28/01/2020 7:50,GS,4787,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,7.91,10.31,12.97
28/01/2020 8:10,GS,4789,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,8.77,11.35,12.96
28/01/2020 8:20,GS,4790,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,9.36,12.02,12.96
28/01/2020 8:30,GS,4791,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,10.28,12.62,12.96
28/01/2020 8:40,GS,4792,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,11.45,13.58,12.96
30/01/2020 7:00,GS,4845,3.481,275.9,10.72,3.481,153.9,10.72,6.54,15.07,60.39,7.503,1054.46,35.93,0,12.05,14.62,12.71
30/01/2020 6:50,GS,4844,3.382,269.9,9.93,3.382,147.9,9.9,5.54,NAN,60.58,7.397,1037.933,NAN,0,12.17,14.33,12.74
30/01/2020 7:10,GS,4846,3.592,276.4,9.89,3.592,154.4,9.89,5.8,15.2,59.35,7.454,1054.44,59.53,0,12.31,14.87,12.71
28/01/2020 17:10,GS,4843,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,12.48,14.12,12.92
28/01/2020 8:50,GS,4793,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,12.57,14.55,12.95
30/01/2020 7:20,GS,4847,3.527,273.9,10.29,3.527,151.9,10.29,6.11,15.23,59,7.4,1054.534,86.58,0,12.67,15.1,12.71
28/01/2020 17:00,GS,4842,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13,14.35,12.92
28/01/2020 16:50,GS,4841,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.01,14.57,12.92
30/01/2020 7:30,GS,4848,3.63,270,12.41,3.63,148,12.41,5.48,15.47,58.12,7.374,1054.673,115.89,0.05,13.15,15.41,12.71
28/01/2020 9:10,GS,4795,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.16,15.87,12.95
28/01/2020 9:20,GS,4796,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.25,15.39,12.95
28/01/2020 9:00,GS,4794,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.29,15.42,12.95
30/01/2020 7:40,GS,4849,3.612,280.2,11.48,3.612,158.2,11.47,6.17,15.53,57.82,7.337,1054.639,144.65,0.22,13.59,15.77,12.71
28/01/2020 16:40,GS,4840,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.64,14.8,12.93
28/01/2020 15:40,GS,4834,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.81,16.4,12.94
28/01/2020 16:30,GS,4839,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.1,14.92,12.93
30/01/2020 7:50,GS,4850,2.705,276.7,12.71,2.705,154.7,12.71,4.9,15.73,57.15,7.391,1054.603,176.62,0.38,14.23,16.19,12.72
28/01/2020 15:50,GS,4835,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.27,15.64,12.94
28/01/2020 16:10,GS,4837,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.27,15.07,12.93
28/01/2020 16:00,GS,4836,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.28,15.33,12.94
28/01/2020 16:20,GS,4838,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.38,14.94,12.93
28/01/2020 9:30,GS,4797,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.44,15.93,12.95
30/01/2020 8:00,GS,4851,2.502,263.6,15.8,2.502,141.6,15.8,4.48,15.97,57.47,7.662,1054.628,211.03,0.55,14.85,16.69,12.72
28/01/2020 9:40,GS,4798,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.26,16.6,12.95
28/01/2020 15:30,GS,4833,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.26,17.13,12.95
30/01/2020 8:10,GS,4852,3.371,277,10.48,3.371,155,10.48,5.68,16.16,55.62,7.398,1054.547,245.91,0.72,15.36,17,12.73
28/01/2020 14:40,GS,4828,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.74,17.11,12.96
28/01/2020 14:50,GS,4829,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.79,16.43,12.96
28/01/2020 15:10,GS,4831,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.85,16.01,12.95
28/01/2020 9:50,GS,4799,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.99,17.22,12.95
28/01/2020 15:00,GS,4830,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.06,16.14,12.95
30/01/2020 8:20,GS,4853,2.763,265.8,21.2,2.763,143.8,21.2,4.39,16.41,55.12,7.515,1054.629,280.45,0.88,16.18,17.41,12.73
26/02/2020 10:50,GS,4945,1.416,255.5,48.93,1.416,192,48.96,3.11,NAN,61.96,9.65,992.201,NAN,0.15,16.52,18.95,12.9
28/01/2020 13:00,GS,4818,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.57,17.05,12.97
28/01/2020 13:10,GS,4819,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.57,16.77,12.97
30/01/2020 17:30,GS,4908,0.588,356.6,19.08,0.588,234.6,19.08,1.29,19.77,47.95,8.51,1049.623,2.6,8.44,16.58,18.92,12.8
28/01/2020 13:40,GS,4822,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.64,17.27,12.96
28/01/2020 11:30,GS,4809,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.8,17.61,12.97
28/01/2020 10:00,GS,4800,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.87,17.76,12.95
30/01/2020 17:20,GS,4907,0.842,23.22,18.42,0.842,261.2,18.42,1.47,19.89,47.75,8.57,1049.6,5.43,8.44,16.93,19.25,12.8
28/01/2020 14:30,GS,4827,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.08,17.9,12.96
30/01/2020 8:30,GS,4854,2.238,255.4,22.79,2.238,133.4,22.79,3.78,16.73,54.74,7.673,1054.735,314.5,1.05,17.11,18.09,12.73
28/01/2020 10:30,GS,4803,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.19,18.22,12.96
30/01/2020 17:10,GS,4906,0.452,4.887,92.3,0.452,242.9,92.3,1.16,20.15,46.35,8.46,1049.664,10.49,8.44,17.26,19.61,12.81
28/01/2020 10:10,GS,4801,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.27,18.27,12.95
28/01/2020 12:50,GS,4817,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.31,17.4,12.97
28/01/2020 13:20,GS,4820,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.33,16.89,12.97
28/01/2020 10:20,GS,4802,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.37,18.33,12.96
28/01/2020 12:40,GS,4816,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.42,17.74,12.97
26/02/2020 11:00,GS,4946,1.855,228.1,37.6,1.855,165,37.51,4.02,16.64,62.91,9.64,1003,320.38,0.32,17.5,18.2,12.9
28/01/2020 13:30,GS,4821,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.53,17.14,12.97
28/01/2020 15:20,GS,4832,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.53,16.63,12.95
28/01/2020 14:20,GS,4826,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.73,18.78,12.96
30/01/2020 17:00,GS,4905,0.402,31.8,73.52,0.402,269.8,73.52,1.01,20.35,45.99,8.48,1049.724,18.24,8.44,17.79,20.02,12.81
28/01/2020 12:30,GS,4815,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.88,18.52,12.97
28/01/2020 11:20,GS,4808,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.91,18.29,12.97
28/01/2020 11:00,GS,4806,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,17.98,18.7,12.96
28/01/2020 14:10,GS,4825,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,18.11,19.3,12.96
30/01/2020 8:40,GS,4855,1.308,214.1,40.28,1.308,92.1,40.28,3.12,17.23,54.36,8.04,1054.876,345.56,1.22,18.2,18.67,12.74
26/02/2020 11:50,GS,4951,2.004,221.1,27.41,2.004,158,27.4,4.89,16.65,67.06,10.6,1002.814,344.96,1.15,18.23,17.71,12.9
26/02/2020 11:30,GS,4949,1.468,229.2,38.43,1.468,166.1,38.47,4.29,16.72,67.81,10.83,1002.953,291.56,0.82,18.25,17.99,12.91
28/01/2020 11:40,GS,4810,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,18.28,17.47,12.97
30/01/2020 16:50,GS,4904,0.543,19.63,22.89,0.543,257.6,22.89,1.21,20.58,45.26,8.38,1049.8,27,8.44,18.29,20.38,12.81
26/02/2020 11:20,GS,4948,1.595,215.4,41.2,1.595,152.4,41.21,3.51,16.98,65.17,10.47,1002.938,293.24,0.65,18.4,18.37,12.91
26/02/2020 11:40,GS,4950,1.871,226.8,33.94,1.871,163.7,33.94,4,16.78,67.43,10.81,1002.927,314.24,0.98,18.41,17.92,12.9
28/01/2020 11:50,GS,4811,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,18.6,17.85,12.97
28/01/2020 10:40,GS,4804,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,18.76,18.38,12.96
26/02/2020 12:00,GS,4952,1.7,234.7,41.41,1.7,171.5,41.46,4.33,16.56,67.19,10.53,1002.679,468.85,1.32,18.78,17.39,12.9
28/01/2020 13:50,GS,4823,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,18.82,17.71,12.96
30/01/2020 16:40,GS,4903,0.441,48.24,26.68,0.441,286.3,26.72,0.9,20.57,44.74,8.25,1049.8,35.35,8.44,18.82,20.73,12.82
26/02/2020 11:10,GS,4947,1.979,225.9,37.69,1.979,162.7,37.63,5.48,16.69,64.78,10.12,1002.989,531.02,0.48,19.1,17.78,12.91
28/01/2020 12:20,GS,4814,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,19.15,19.32,12.97
28/01/2020 11:10,GS,4807,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,19.31,18.01,12.97
30/01/2020 16:30,GS,4902,0.627,100.4,32.6,0.627,339.3,32.67,1.11,20.65,44.1,8.2,1049.8,42.46,8.44,19.33,21.17,12.82
30/01/2020 8:50,GS,4856,0.807,203.3,29.84,0.807,81.3,29.85,1.71,17.97,53.84,8.62,1054.793,373.98,1.38,19.38,19.6,12.74
28/01/2020 12:00,GS,4812,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,19.47,17.71,12.97
26/02/2020 13:10,GS,4959,1.581,229.4,34.8,1.581,166.4,34.82,4.18,17.14,63.23,10.19,1002.252,351.38,2.48,19.55,18.91,12.88
30/01/2020 16:20,GS,4901,1.22,106.1,18.6,1.22,345.1,18.6,2.16,20.78,44.03,8.31,1049.8,50.73,8.44,19.71,21.99,12.82
26/02/2020 12:50,GS,4957,1.779,221.4,37.24,1.779,158.4,37.21,4.47,17.4,62.66,10.29,1002.379,437.92,2.15,19.76,19.05,12.89
28/01/2020 14:00,GS,4824,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,19.81,18.81,12.96
30/01/2020 9:00,GS,4857,1.02,177.3,23.95,1.02,55.26,23.95,1.52,18.01,54.32,8.79,1054.769,408.25,1.55,19.94,19.71,12.74
28/01/2020 10:50,GS,4805,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,20.09,18.96,12.96
26/02/2020 12:10,GS,4953,1.956,218.4,31.96,1.956,155.4,31.98,4.53,17.17,64.67,10.54,1002.607,480.44,1.48,20.15,18.28,12.9
02/12/2019 10:00,GS,4675,2.383,334.6,23.42,2.383,83.8,23.48,5.45,19.77,64.39,12.96,998.504,412.4,0.23,20.34,21.41,12.92
30/01/2020 9:10,GS,4858,1.158,144.1,19.18,1.158,22.29,19.38,2.09,18.32,53.44,8.8,1054.782,434.95,1.72,20.39,19.66,12.75
30/01/2020 9:20,GS,4859,0.957,116.8,30.01,0.957,355.8,30.01,1.5,18.54,52.86,8.86,1054.73,461.96,1.88,20.66,20.41,12.75
26/02/2020 12:30,GS,4955,1.758,224.1,34.3,1.758,161.1,34.32,4.92,17.57,60.71,9.99,1002.495,511.57,1.82,20.74,19.12,12.89
30/01/2020 16:10,GS,4900,0.904,63.15,25.87,0.904,301.8,25.96,1.51,21.1,43.1,8.12,1049.942,64.26,8.44,20.84,23.09,12.82
26/02/2020 13:20,GS,4960,1.49,232.6,39.22,1.49,169.6,39.25,3.53,17.46,61.21,10.02,1002.325,574.77,2.65,21.07,18.63,12.88
02/12/2019 9:50,GS,4674,3.059,336.2,25.52,3.059,86,25.43,6.26,20.68,61.48,13.09,998.5024,498.1667,0.06,21.08,22.64,12.95
02/12/2019 10:10,GS,4676,2.866,338,19.69,2.866,87,19.69,5.98,19.85,62.82,12.65,998.508,536.14,0.4,21.44,21.1,12.92
30/01/2020 9:30,GS,4860,0.603,51.23,38.55,0.603,290.2,38.54,1.58,19.31,50.57,8.92,1054.796,488.59,2.05,21.44,22.24,12.76
02/12/2019 10:20,GS,4677,2.614,343.2,22.42,2.614,92.2,22.42,5.17,19.87,61,12.23,998.492,509.47,0.56,21.58,20.92,12.93
28/01/2020 12:10,GS,4813,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,21.6,19.32,12.97
26/02/2020 12:40,GS,4956,1.715,234.5,40.74,1.715,171.4,40.73,4.9,17.78,61.26,10.32,1002.48,541.17,1.98,21.75,19.29,12.89
26/02/2020 12:20,GS,4954,2.184,219,26.14,2.184,155.9,26.14,4.03,17.53,61.65,10.18,1002.601,741.77,1.65,21.78,18.67,12.89
02/12/2019 10:40,GS,4679,2.579,320.1,26.37,2.579,69.32,26.35,5.4,20.1,58.12,11.73,998.425,528.64,0.9,21.83,21.47,12.93
30/01/2020 9:40,GS,4861,0.903,108.2,60.35,0.903,347.1,60.44,1.99,19.37,50.49,8.97,1054.709,514.02,2.22,21.88,23.43,12.76
30/01/2020 16:00,GS,4899,0.844,107.9,35.66,0.844,345.9,35.66,1.86,21.39,42.11,8.19,1050.065,147.61,8.44,22.45,23.71,12.82
02/12/2019 10:30,GS,4678,2.33,330.4,24.93,2.33,79.42,24.94,5.09,20.15,59.11,12.03,998.493,560.45,0.73,22.5,21.29,12.93
26/02/2020 14:30,GS,4967,1.525,244.5,56.79,1.525,181.2,56.76,3.65,18.34,60.58,10.67,1002.165,530.99,3.82,22.63,19.9,12.86
26/02/2020 14:40,GS,4968,1.819,228.4,40.95,1.819,164.8,40.97,4.08,18.46,59.99,10.67,1002.263,593.07,3.98,22.78,19.9,12.86
30/01/2020 9:50,GS,4862,1.231,111.3,30.42,1.231,349.5,30.19,2.14,19.71,49.54,8.97,1054.7,538.12,2.38,22.93,24.16,12.76
26/02/2020 13:00,GS,4958,1.857,220.1,27.44,1.857,156.9,27.46,3.49,18,60.98,10.47,1002.392,666.51,2.32,23.17,19.44,12.89
30/01/2020 15:50,GS,4898,0.86,93.9,28.19,0.86,331.9,28.18,1.95,21.47,42.19,8.25,1050.098,204.18,8.34,23.33,24.67,12.83
26/02/2020 14:20,GS,4966,1.636,246.1,40.79,1.636,182.9,40.77,4.58,18.45,57.9,10.1,1002.121,668.9,3.65,23.4,20.15,12.86
26/02/2020 14:10,GS,4965,1.847,235.8,42.19,1.847,172.5,42.28,4.63,18.56,57.99,10.23,1002.141,678.09,3.48,23.45,20.36,12.87
26/02/2020 13:40,GS,4962,1.863,222.3,33.74,1.863,159.1,33.74,3.54,18.47,57.21,9.96,1002.251,759.08,2.98,23.79,20.19,12.87
30/01/2020 10:00,GS,4863,1.512,114.8,20.7,1.512,352.8,20.7,3.13,19.26,50.76,8.89,1054.652,560.2,2.55,23.8,23.75,12.76
26/02/2020 14:00,GS,4964,1.812,227.9,48.22,1.812,164.7,48.17,4.19,18.67,57.31,10.17,1002.153,708.25,3.32,23.86,20.47,12.87
30/01/2020 15:40,GS,4897,0.947,42.16,21.47,0.947,280.2,21.47,2.02,21.49,42.5,8.35,1050.103,187.32,8.18,23.88,25.26,12.83
26/02/2020 13:50,GS,4963,1.753,232.1,29.08,1.753,168.8,29.05,4.44,18.67,58.6,10.51,1002.196,735.14,3.15,24.12,20.43,12.87
26/02/2020 13:30,GS,4961,1.803,225.9,36.54,1.803,162.3,36.63,4.47,18.39,60.52,10.71,1002.364,803.04,2.82,24.22,19.66,12.88
30/01/2020 10:10,GS,4864,1.482,118.8,14.79,1.482,356.8,14.79,2.28,19.3,50.39,8.86,1054.6,580.58,2.72,24.79,23.51,12.77
30/01/2020 15:30,GS,4896,1.324,74.91,23.4,1.324,312.9,23.4,2.58,21.52,42.32,8.31,1050.243,273.34,8.05,25.02,25.88,12.83
30/01/2020 10:20,GS,4865,1.279,120.6,35.1,1.279,358.6,35.1,2.16,19.37,50.18,8.86,1054.503,599.28,2.88,25.81,23.77,12.78
30/01/2020 15:20,GS,4895,1.041,62.71,61.15,1.041,300.7,61.15,2.54,22.26,40.36,8.28,1050.3,316.36,7.88,26.34,26.58,12.83
30/01/2020 10:30,GS,4866,1.294,105.1,25.9,1.294,343.1,25.9,2.39,19.42,49.94,8.84,1054.33,616.54,3.05,26.51,24.5,12.78
30/01/2020 15:10,GS,4894,0.884,65.25,67.04,0.884,303.3,67.04,1.51,21.91,41.04,8.25,1050.3,345.3,7.72,26.55,26.82,12.83
30/01/2020 10:40,GS,4867,1.163,112.2,57.17,1.163,350.2,57.17,2.29,19.52,49.73,8.85,1054.163,633.38,3.22,27.16,24.89,12.78
30/01/2020 15:00,GS,4893,1.348,62.08,33.96,1.348,300.1,33.98,2.56,21.86,41.6,8.37,1050.314,375.26,7.55,27.21,27.6,12.83
30/01/2020 10:50,GS,4868,1.09,88.1,42.22,1.09,326.1,42.21,1.99,19.92,48.68,8.92,1054.1,645.2,3.38,28.11,25.93,12.78
30/01/2020 14:50,GS,4892,0.984,15.22,53.36,0.984,253.2,53.35,2.52,22.11,41.85,8.65,1050.4,406.27,7.39,28.13,27.61,12.83
30/01/2020 11:00,GS,4869,1.312,93.3,44.62,1.312,331.3,44.62,2.73,19.91,48.71,8.92,1053.968,658.32,3.55,28.29,26.58,12.78
30/01/2020 11:10,GS,4870,1.323,96.3,26.46,1.323,334.3,26.46,2.47,19.86,48.69,8.89,1053.795,669.64,3.72,28.61,26.44,12.79
30/01/2020 11:20,GS,4871,1.635,104.9,25.13,1.635,342.9,25.13,2.84,20.02,48.49,8.96,1053.645,676.99,3.88,28.66,26.48,12.8
30/01/2020 14:40,GS,4891,0.909,50.8,58.71,0.909,288.8,58.71,2.1,21.96,42.21,8.65,1050.499,444.78,7.22,28.78,27.58,12.83
30/01/2020 14:30,GS,4890,1.39,49.13,36.99,1.39,287.1,36.99,2.68,21.77,42.68,8.68,1050.6,470.2,7.05,28.98,27.76,12.83
30/01/2020 14:20,GS,4889,1.142,70.89,60.3,1.142,308.9,60.3,2.56,21.6,43.12,8.68,1050.691,493.74,6.88,29.09,28,12.83
30/01/2020 11:30,GS,4872,1.334,106.7,28.09,1.334,344.7,28.09,2.82,20.18,48.04,8.97,1053.401,683.11,4.05,29.46,26.08,12.8
30/01/2020 14:10,GS,4888,1.523,56.28,21.42,1.523,294.3,21.42,2.68,21.35,43.91,8.7,1050.771,524.45,6.72,29.58,28.21,12.83
